text,category
Kailan po kaya maayos ang Naga City People's Mall? composting facility foul odor po kasi.,waste_management
Kailan po kaya maayos ang Bicol Central Station? defective solar lights po kasi.,infrastructure
"Grabe naman, water pipe leak sa kalsada dito sa Balatas! Ano na??",utilities
Urgent: unsnitary street food vendors d2 s Liboton.,sanitation
Formal complaint: lost id replacement process located in Ecology Park.,social_services
"Jusko, defective solar lights nanaman sa Cararayan. Ilang araw na to.",infrastructure
Urgent: dumi ng aso s sidewalk d2 s San Isidro.,sanitation
Kailan po kaya maayos ang Plaza Quince? stray dogs chasing people po kasi.,health
TO THE CITY GOVERNMENT: MAY PUTOL NA KABLE SA DAAN HERE IN BALATAS. PLEASE INVESTIGATE.,utilities
"ask ko lang po kung may action na, cash for work payout delay kasi dito sa san felipe.",employment
To the City Government: street light flickering on and off here in LCC Mall. Please investigate.,utilities
Anyone from city hall? illegal dismissal complaint here in Plaza Rizal. So hassle.,employment
"Jusko, may magnanakaw na umaaligid nanaman sa Panganiban Drive. Ilang araw na to.",public_safety
Anyone from city hall? need namin ng schedule for anti-rabies here in Cararayan. So hassle.,health
GOOD DAY. WE ARE REQUESTING ASSISTANCE BECAUSE DOUBLE PARKING SA MAIN ROAD AT METROPOLITAN CATHEDRAL.,traffic
Formal complaint: shocking electricity bill amount located in Abella.,utilities
Gud pm. hindi dumaan ng garbage truck s Ateneo Avenue. Tnx.,waste_management
Reporting a concern regarding walang tubig simula kanina at Magsaysay Avenue.,utilities
Magtatanong lang po regarding sobrang baho ng kanal sa Balatas?,sanitation
To the City Government: bulky waste pickup request here in Del Rosario. Please investigate.,waste_management
Anyone from city hall? brownout nanaman dito here in Jesse Robredo Coliseum. So hassle.,utilities
"Sir/Ma'am, pa-check naman po ng Santa Cruz, truck ban inquiry time po kasi.",traffic
Report ko lng basura nakatambak s harap ng school d2 s San Francisco.,sanitation
Reporting a concern regarding nagsusunog ng plastic ang kapitbahay at Balatas.,waste_management
Magtatanong lang po regarding walang doctor sa health center sa San Isidro?,health
Gud pm. puno na ng septic tank s Concepcion Grande. Tnx.,sanitation
Urgent: birthday cash gift for senior d2 s Centro.,social_services
"Kami po ay taga Jesse Robredo Coliseum, report ko lang na water pipe leak sa kalsada.",utilities
Report ko lng grabe ng traffic ngayon d2 s Ateneo Avenue.,traffic
Help. traffic rerouting confusion s Dinaga. Pls fix.,traffic
Good day. We are requesting assistance because akyat bahay incident report at Centro.,public_safety
Anyone from city hall? bulky waste pickup request here in Dayangdang. So hassle.,waste_management
Formal complaint: suspicious drug related activity located in Lerma.,public_safety
Parang wala namang action. tumataas ang cases ng dengue pa rin sa Cararayan.,health
"Jusko, penalty for littering inquiry nanaman sa Santa Cruz. Ilang araw na to.",waste_management
Huy pansinin niyo naman to. ang lalim ng lubak sa daan sa Plaza Rizal. Nakaka-stress!,infrastructure
Update po s pagtapon ng basura s ilog s Sabng? Wala pa action.,waste_management
I would like to report that inom sa kalsada hanggang madaling araw in Triangulo.,public_safety
Kailan po kaya maayos ang San Francisco? suspicious drug related activity po kasi.,public_safety
"Kami po ay taga SM Naga area, report ko lang na ubos na ang gamot sa center.",health
