text,category
Help. may patay na daga s daan s Bicol Central Station. Pls fix.,sanitation
Kailan po kaya maayos ang LCC Mall? tricycle overcharging fare po kasi.,traffic
Help. wala pa kaming natatnggap na ayuda s Ateneo Avenue. Pls fix.,social_services
Pwede ba mag-reklamo? sobrang dilim ng eskinita kasi sa Balatas. Thanks.,public_safety
Good day. We are requesting assistance because discrimination sa hiring process at Centro.,employment
Pwede ba mag-reklamo? no entry violation reports kasi sa San Francisco. Thanks.,traffic
Fyi meter reading error complaint s Tabuco.,utilities
To the City Government: looking for summer job for students here in Peñafrancia. Please investigate.,employment
"Grabe naman, flu outbreak sa area namin dito sa Sabang! Ano na??",health
Please be informed that medical certificate request for indigent in the vicinity of Concepcion Pequeña.,health
Parang wala namang action. may magnanakaw na umaaligid pa rin sa Sabang.,public_safety
Concern lng re: road rage incident report s San Felipe.,traffic
Urgent: falling debris from construction d2 s Santa Cruz.,infrastructure
"Kami po ay taga Dinaga, report ko lang na sira ang traffic light.",traffic
Concern lng re: clogged drainage causing smell s Dayngdng.,sanitation
Help. diarrhea outbreak due to dirty water s Peñafrancia. Pls fix.,health
fyi openings for construction workers s liboton.,employment
"GRABE NAMAN, HIGH BLOOD PRESSURE MONITORING REQUEST DITO SA PANICUASON! ANO NA??",health
"Ask ko lang po kung may action na, discrimination sa hiring process kasi dito sa Cararayan.",employment
"Jusko, double parking sa main road nanaman sa San Isidro. Ilang araw na to.",traffic
Pwede ba mag-reklamo? akyat bahay incident report kasi sa San Francisco. Thanks.,public_safety
Kailan po kaya maayos ang Balatas? no entry violation reports po kasi.,traffic
"Sir/Ma'am, pa-check naman po ng Dayangdang, openings for construction workers po kasi.",employment
fyi defective solar lights s lcc mall.,infrastructure
"Ask ko lang po kung may action na, kailan ang schedule ng hakot kasi dito sa San Isidro.",waste_management
Pwede ba mag-reklamo? estero needs cleaning kasi sa Triangulo. Thanks.,sanitation
Parang wala namang action. wala pa kaming natatanggap na ayuda pa rin sa Sabang.,social_services
Fyi livelihood program for mothers s Balatas.,employment
Reporting a concern regarding kulang ang binigay na relief goods at Tinago.,social_services
PLEASE BE INFORMED THAT NEED OXYGEN TANK ASSISTANCE IN THE VICINITY OF CONCEPCION PEQUEÑA.,health
Huy pansinin niyo naman to. may nag-aaway na lasing sa Centro. Nakaka-stress!,public_safety
Formal complaint: suspicious person taking photos located in UNC gate.,public_safety
Huy pansinin niyo naman to. livelihood program for mothers sa Bicol Central Station. Nakaka-stress!,employment
Urgent: unfair labor practice s trabaho d2 s SM Naga area.,employment
Pwede ba mag-reklamo? kailan ang schedule ng hakot kasi sa Diversion Road. Thanks.,waste_management
I would like to report that tambak na basura sa kalsada in Plaza Rizal.,sanitation
Magtatanong lang po regarding gang war threat sa Concepcion Grande?,public_safety
Huy pansinin niyo naman to. loading/unloading violation sa San Isidro. Nakaka-stress!,traffic
"Ask ko lang po kung may action na, unsanitary street food vendors kasi dito sa San Isidro.",sanitation
Fyi basura nakatambak s harap ng school s Abella.,sanitation
"Ask ko lang po kung may action na, wala pa kaming natatanggap na ayuda kasi dito sa Calauag.",social_services
Good day. We are requesting assistance because road widening project delay at Magsaysay Avenue.,infrastructure
Gud pm. may putol na kable s daan s Bagumbayan. Tnx.,utilities
Good day. We are requesting assistance because unsanitary street food vendors at Bicol Central Station.,sanitation
"Grabe naman, slippery pathway due to moss dito sa Del Rosario! Ano na??",infrastructure
Help. livelihood program for mothers s Sabng. Pls fix.,employment
Gud pm. sumabog ng transformer s Dinaga. Tnx.,utilities
Please be informed that pagtapon ng basura sa ilog in the vicinity of UNC gate.,waste_management
"sir/ma'am, pa-check naman po ng naga city people's mall, requesting ambulance assistance po kasi.",health
To the City Government: traffic rerouting confusion here in Liboton. Please investigate.,traffic
"Ask ko lang po kung may action na, sira ang tulay, delikado kasi dito sa Metropolitan Cathedral.",infrastructure
PLEASE BE INFORMED THAT IPIS INFESTATION SA PUBLIC MARKET IN THE VICINITY OF NAGA CITY PEOPLE'S MALL.,sanitation
"Shoutout sa LGU, sobrang hina ng signal sa Lerma. Please actionan agad.",utilities
"Jusko, tumataas ang cases ng dengue nanaman sa Igualdad. Ilang araw na to.",health
To the City Government: road widening project delay here in Peñafrancia. Please investigate.,infrastructure
Help. kulng ng binigay na relief goods s Balatas. Pls fix.,social_services
Gud pm. clogged drainage causing smell s Plaza Quince. Tnx.,sanitation
Gud pm. unsnitary street food vendors s Bicol Central Station. Tnx.,sanitation
Reporting a concern regarding penalty for littering inquiry at Plaza Quince.,waste_management
Good day. We are requesting assistance because traffic enforcer nangongotong at Liboton.,traffic
"Concerned lang po kami sa mga bata, nakatagilid na ang poste dito sa San Francisco.",infrastructure
Kailan po kaya maayos ang Plaza Quince? stray dogs chasing people po kasi.,health
Reporting a concern regarding puno na ang septic tank at Calauag.,sanitation
Kailan po kaya maayos ang SM Naga area? defective solar lights po kasi.,infrastructure
To the City Government: meter reading error complaint here in Ateneo Avenue. Please investigate.,utilities
"Sir/Ma'am, pa-check naman po ng Concepcion Pequeña, ipis infestation sa public market po kasi.",sanitation
Anyone from city hall? schedule ng tuli operation here in Balatas. So hassle.,health
