text,label,intensity
"Nakakatakot dumaan sa Triangulo pag iyo gabi, mabagal su City Hall.",negative,1.5
HOY MNWD ANUNA?? CALAUAG NA NAMAN KAMI!!,negative,1.81
Super helpful nung staff sa baha sa Cararayan tnx po.,positive,1.18
"Late na naman ang kalsada sa San Felipe, nakaka-magulo.",negative,1.13
"Iyo man, reliable su programa sa man nawasa.",positive,1.11
Ask lng po if may ayuda sa Panganiban Drive?,neutral,0.14
GAAARO WARA MAN KWEnTA ANG KANAL A PLAAAZA RIZAL.,negative,1.9
Best LGU uni talaga su Naga!! Proud iyo Nagueño here sa Sabang!,positive,1.15
Anong oras start ng Mayor's Permit sa Dinaga?,neutral,0.21
May bayad po ba mag-avail ng City Hall?,neutral,0.28
AAAnong oras start baaaga ng triicycle driveeer sa Concepcion Graaaande?,neutral,0.17
HOY MNWD ANUNA?? TRIANGULO NA NAMAN KAMI!!,negative,2.0
Thanks sa City Hall allowance laking tulong.,positive,2.0
Waiting pa din sa kuryente update.,neutral,0.24
Wara bang pasok bukas po sa Lerma?,neutral,0.14
ANYARE SA TRAPIK SA PLAZA QUEZON? ANG BAHA.,negative,2.0
Ang galing ng kanaaal Team alerto aad sa Dinaga.,positive,1.39
May schedule na ba ng kalsada sa Lerma?,neutral,0.31
Ang Galing ng ayudaa eam aalerTo agad sa San Francisco.,positive,1.35
Kamusta po ang lagay ng brownout papuntang Panicuason?,neutral,0.28
Ask lng p if po may Gamot sa iyo concepcion Pequeeeña?,neutral,0.31
Loveeee the new kaaaalsada Sa Triangulo ang ganda tignan.,positive,1.06
Ang galing ng scholarship team alerto agad sa Dinaga.,positive,2.0
kuryente PLEASE NAMAN MAAWA KAYO SA MGA TAO SA Panicuason!,negative,1.42
"Marhay na agaa, may libreng ilaW sa poste p ba?",neutral,0.15
Safe ba mag-joggi sa Cathedral pag umaga?,neutral,0.4
SOBRANG PAHIRP iyo NA NG CASURECO SA CENTRO BAKiT DI INAAKSYUNAN?,negative,2.0
Good morning po ask ko lang kung open ang tricycle driver sa Concepcion Grande?,neutral,0.43
Garo wara man kwenta ang kanal sa Tabuco.,negative,1.55
Wow anG bilis g response tiiime ng tricycle driver hotline!,positive,1.15
Wow ang bilis ng response time ng ilaw sa poooste Hotline,positive,1.34
Safe ba man mag-jogging sa Mabolo pag umaga?,neutral,0.31
OBRANG WALANG KWENTA NA NG CASURECO SA CONCEEEPCION PEQUEÑA bkt DI INAAKSYUNAN?,negative,2.0
"Late na naman ang pasahe sa Panganiban Drive, nakaka-hassle.",negative,1.15
"Vey aaccomodating si Health Center sa SaBaang, eFficient.",positive,1.45
"BULOK NA SISTEMA Sa TRIMOBILE, Su GULO man GULO SA CARARAYAn.",negative,1.84
Super helpful nung staff sa ilaw sa poste sa Carolina tnx po.,positive,1.24
"BuLok na sistema sa ilaw sa posTe, aang gulo gulo sa Dayagdang.",negative,1.56
PARANG AWA NIYO NA AYUSIN NIYO NA ANG HEALTH CENTER SA CONCEPCION GRANDE!!,negative,1.89
Proud to be Nagueño! alerto ang drainage.,positive,1.57
Anyare sa Trimobile sa Dayangdang? Su pahirap.,negative,1.42
Okay man su service kang street lights sa Concepcion Grande.,positive,1.63
Super helpful nung staff sa baha daw sa San Felipe tnx po.,positive,1.27
MAYOR'S PERMIT PLEASE NAMAN MAAWA KAYO SA MGA TAO SA PLAZA QUEZON!,negative,1.94
ANYARE SA DRAINAGE SA CONCEPCIOn PEQUEÑAAAA? ANG KADIRI.,negative,1.84
Proud to be Nagueño! peaceful ang Health Center.,positive,1.01
Thanks sa scholarship alLowance laking tulong.,positive,1.69
"Late na naman ang street lights sa Cararayan, nakaka-palpak.",negative,1.37
"Very accommodating si tricycle driver sa Cararayan, maganda.",positive,1.14
Prooooud to b Nagueño! reeliiiiable su daw MNWD.,positive,1.29
Thaaaank you Maaayor Legacion sa mabiilis na action sa baaasura sa Concepcion Pequeña!,positive,1.03
Sain banda su pila para sa water supPly?,neutral,0.17
Ask lng po if may street lights sa Lerma?,neutral,0.2
Anong oras start ng trapik sa Centro?,neutral,0.26
Ano na balita sa inaayos na baha sa Pacol?,neutral,0.38
Sobrang maingay a Ng drainage sa Carrayan bakit di inaaksyunan?,negative,1.11
Kudos to the scholarship fOr managing the Pacol well.,positive,0.88
"Di man man lang nag-reply sa chat su road repairs, pahirap service.",negative,1.53
Wara bang pasok bukas sa San garo Felipe?,neutral,0.35
Ano na balita sa inaayos na water supply sa San Francisco?,neutral,0.21
Good morning po ask ko lang kung po open su tricycle driver sa daw Cararayan?,neutral,0.21
"LATE NA NAMAN Su PASAHE SA PANGANIBAN DRIVE, NAKAKA-NANGONGOTONG.",negative,2.0
Waiting pa din sa tubig update.,neutral,0.33
"Nakakainis yung MNWD sa Pacol, hassle masyado.",negative,1.55
Safe ba mag-jogging sa San Francisco pag umaga?,neutral,0.24
Love the new trapik sa San Francisco ang ganda tignan.,positive,1.24
Anyare sa trapik sa Triangulo? Ang mabaho.,negative,1.3
Ask lng po if may scholarship sa Plaza Rizal?,neutral,0.22
Kudooos to uni tHe drainage for managing man the Calauag weell.,positive,1.37
"Iyo man, very helpful ang programa sa pasahe.",positive,1.61
"Iyo man, maganda ang programa sa water supply.",positive,1.18
Kudos to the iyo Blue Boys for man managing the Concepcion baga Pequeña well.,positive,1.01
Consistent ang lubak sa Panganiban Drive good job.,positive,1.24
Wow su bilis ng response time ng man Mayor's Permit hotline!,positive,2.0
Solid ang support ng LGU sa kuryente.,positive,1.49
Sain po pwede magpa-register para sa tubig?,neutral,0.02
OkAy man su service kang basura sa SM Nagaaa.,positive,1.09
Wow su bilis ng baga response time ng Health Center hotline!,positive,1.28
Waiting pa din sa street lights update.,neutral,0.23
Sain po pwede magpa-register para sa drainage?,neutral,0.19
Consistent ang kalsada sa SM Naga good job.,positive,1.69
"Very accommodating si kuryente sa Plaza Rizal, best.",positive,1.75
GRAE BAHA d2 SA ALATAS DElIKADO NA!,negative,2.0
GRABE palpak d2 SA San FrAncisco DELIKADO NAAA,negative,1.31
May schedule na ba ng Health Center sa San Felipe?,neutral,0.23
Sain banda su pila para sa kalsada?,neutral,0.1
Sain banda ang pila para sa scholarship?,neutral,0.2
Good morning po ask ko lang kung open man su baga business permit sa Cararayan?,neutral,0.14
Best LGU talaga ang Naga!! Proud Nagueño here sa Balatas!,positive,1.32
Ask lng po if may water supply sa Mabolo?,neutral,0.22
