text,label,intensity
Okay man su service kang kalsada sa Tabuco.,positive,1.1
"Please lang, paki-ayos ang brownout sa Concepcion Pequeña, sobrang bulok eh.",negative,1.67
"Sobrang maingay baga ng City Hall sa Concepcion Grande, nakaka-stress!",negative,0.89
"Napaka-very helpful ng staff ng Trimobile sa Centro, kudos!",positive,1.32
Okay man su service kang renewal sa Calauag.,positive,1.1
Su galing ng Road repairs team alerto agad sa Dinaga.,positive,1.16
"Hassle naman sa sabang, ang palpak ng Mayor's Permit.",negative,1.51
"Grabe, why is the lubak sa Tabuco super mabagal?",negative,1.37
Ask ko garo lang if tuloy ang street lights sa San Francisco?,neutral,0.17
"Bulok iyo na sistema sa kanal, ang gulo sa Peñafrancia.",negative,1.57
"Anubayan, magulo na naman ang kuryente sa Calauag.",negative,1.01
"Tanong lang, baga kamusta ang trapik sa Peñafrancia?",neutral,0.8
Solid ang support ng LGU sa MNWD.,positive,1.66
HOY Health Center ANUNA?? Centro NA NAMAN KAMI!!,negative,1.97
"Sobrang hassle ng Street lights sa Triangulo, nakaka-stress!",negative,1.26
"NaaapakA-excellent ng daw staff ng renewAl sa Peñafrancia, kudos!",positive,1.92
HOY brownout ANUNA?? Carolina NA NAMAN KAMI!!,negative,1.9
Su galing daw ng scholarship team alerto agad sa Dinaga.,positive,1.67
"Hassle naman sa Concepcion Pequeña, ang baha ng garbage collection.",negative,1.73
HOY garo truck ng basura ANUNA?? Tinago NA NAMAN KAMI!!,negative,1.97
"Paki-check iyo naman ang Mayor's Permit sa Pacol, magulo na masyado.",negative,1.08
"Hassle naman sa San Francisco, ang bulok ng traffic enforcers.",negative,1.4
Su galing baga ng gamoot teeeam alerto agad sa Maboolo.,positive,1.13
"Tanong lang, kamusta ang street lights sa Mabolo?",neutral,0.8
Garo wara man kwenta ang Health Center sa Pacol.,negative,1.34
"Napaka-maganda ng su staff ng road repairs sa Concepcion Grande, kudos!",positive,1.18
Buloook na baga sistema sa klsada ang gulo sa San FrAncisco.,negative,1.57
Su galing ng ilaw sa poste team alerto agad sa Dayangdang.,positive,1.19
"MarHaay na uni marhay ang Blue Boys sa Carolina, very helpfuuul baga.",positive,1.58
OOkay man su service kang ilaw sa poste sa Bagumbayan Sur.,positive,1.1
"Marhay na marhay ang drainage sa Peñafrancia, malinis baga.",positive,1.37
Su galing ng baha team alerto agad sa Dayangdang.,positive,1.47
"Hassle naman sa Panicuason, ang hassle ng financial assistance.",negative,1.34
"Grabe, why is the Mayor's Permit sa Balatas super palpak?",negative,1.56
Garo wara man kwenta ang road repairs sa Concepcion Grande.,negative,1.51
"ANubayan, buloook baga na naman ang Trimobile sa Calauag.",negative,1.74
Okay man su service kang kuryente sa Triangulo.,positive,1.1
Garo wara man kwenta ang MNWD sa Dayangdang.,negative,1.86
"Sobrang disappointing ng CASURECO sa Concepcion Pequeña, nakaka-stress!",negative,1.43
May update na ba sa MNWD sa Mabolo?,neutral,0.2
Garo uni wara man kwenta ang ilaw sa poste sa Carolina.,negative,1.4
"Sobrang su palpak ng CASURECO sa Calauag, nakaka-stress!",negative,1.71
"AnUbayan, disappoointing na naman ang scholarship sa Bagumbayan SuR.",negative,1.36
"Bulok na sistema sa tubig, ang gulo sa Mabolo.",negative,1.58
Okay man su service kang kuryente sa San Felipe.,positive,1.04
Okay man su service kang renewal saaa Concepcion Peeequeña.,positive,1.1
Good job uni LGU! excelleNt ang kuryenTe sa San Felipe ngayon.,positive,1.79
"Anubayan, delikado na naman ang triiicycle sa San Francisco.",negative,1.72
Good job man LGU! maganda ang checkup sa Tinago ngayon.,positive,1.34
"Bulok na sistema sa garbage collection, ang gulo sa San Felipe.",negative,1.48
"Anubayan, mabagal daw na naman ang traffic enforcers sa Carolina.",negative,1.16
